"","","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)"
"Country","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Burundi"," 2015","62.0","59.8","64.3","16.2","14.9","17.4"
"Burundi"," 2010","58.6","56.9","60.3","15.6","14.2","16.8"
"Burundi"," 2000","43.8","41.8","45.9","13.0","11.8","14.0"
"Cabo Verde"," 2019","74.0","69.9","77.9","19.7","16.8","21.8"
"Cabo Verde"," 2015","74.9","72.2","77.6","21.7","21.0","22.1"
"Cabo Verde"," 2010","74.1","70.8","77.3","22.1","20.8","22.9"
"Cabo Verde"," 2000","71.0","66.9","74.6","20.4","18.2","22.3"
"Cambodia"," 2019","70.1","67.2","72.7","17.7","15.9","19.1"
"Cambodia"," 2015","69.2","66.2","71.9","17.6","15.8","18.9"
"Cambodia"," 2010","67.2","64.2","70.0","17.2","15.5","18.6"
"Cambodia"," 2000","58.7","56.0","61.2","15.8","14.4","17.1"
"Cameroon"," 2019","62.4","60.3","64.5","17.1","15.8","18.3"
"Cameroon"," 2015","59.1","57.3","61.0","16.4","15.0","17.7"
"Cameroon"," 2010","56.6","55.1","58.1","15.9","14.4","17.3"
"Cameroon"," 2000","52.8","51.3","54.4","15.1","13.7","16.4"
"Canada"," 2019","82.2","80.4","84.1","25.2","23.8","26.4"
"Canada"," 2015","81.8","79.9","83.6","24.7","23.3","26.0"
"Canada"," 2010","81.3","79.3","83.3","24.4","22.8","25.7"
"Canada"," 2000","79.1","76.5","81.5","22.5","20.5","24.3"
"Central African Republic"," 2019","53.1","50.2","56.3","13.2","11.3","14.9"
"Central African Republic"," 2015","50.5","48.2","53.0","12.8","11.0","14.4"
"Central African Republic"," 2010","48.5","46.7","50.4","12.5","10.7","14.2"
"Central African Republic"," 2000","44.3","43.2","45.5","11.8","10.1","13.4"
"Chad"," 2019","59.6","58.0","61.3","16.5","15.7","17.3"
"Chad"," 2015","57.9","56.2","59.6","16.2","15.2","17.1"
"Chad"," 2010","55.7","53.9","57.4","15.6","14.6","16.6"
"Chad"," 2000","51.1","49.3","53.0","14.9","13.8","16.1"
"Chile"," 2019","80.7","78.1","83.2","24.3","22.4","25.9"
"Chile"," 2015","79.8","77.0","82.5","23.6","21.6","25.3"
"Chile"," 2010","78.5","75.5","81.3","22.5","20.4","24.2"
"Chile"," 2000","76.8","73.6","79.8","21.3","19.2","23.1"
"China"," 2019","77.4","74.7","80.5","21.1","19.2","23.1"
"China"," 2015","76.6","73.9","79.9","20.6","18.6","22.7"
"China"," 2010","74.9","72.3","77.9","19.6","17.9","21.5"
"China"," 2000","71.6","69.3","74.2","18.4","16.9","20.1"
"Colombia"," 2019","79.3","76.7","81.9","24.0","22.5","25.3"
"Colombia"," 2015","78.4","75.6","81.0","23.4","22.0","24.7"
"Colombia"," 2010","77.1","74.0","80.1","23.0","21.6","24.3"
"Colombia"," 2000","73.7","69.7","77.8","21.7","20.3","23.1"
"Comoros"," 2019","67.4","65.9","68.9","18.1","17.4","18.8"
"Comoros"," 2015","66.5","65.1","67.8","17.9","17.2","18.5"
"Comoros"," 2010","65.0","63.6","66.4","17.6","16.9","18.2"
"Comoros"," 2000","61.5","60.2","62.9","16.3","15.6","17.0"
"Congo"," 2019","64.7","63.8","65.6","16.4","15.7","17.1"
"Congo"," 2015","63.1","62.6","63.6","16.1","15.5","16.6"
"Congo"," 2010","61.0","61.0","60.8","15.7","15.2","16.1"
"Congo"," 2000","52.1","51.5","52.6","13.9","12.8","14.7"
"Costa Rica"," 2019","80.8","78.3","83.4","25.0","23.6","26.4"
"Costa Rica"," 2015","80.8","78.2","83.5","24.9","23.3","26.4"
"Costa Rica"," 2010","79.6","77.0","82.2","24.0","22.5","25.4"
"Costa Rica"," 2000","78.0","75.5","80.6","22.4","20.8","24.0"
"Côte d'Ivoire"," 2019","62.9","60.5","65.8","17.1","15.8","18.7"
"Côte d'Ivoire"," 2015","60.2","58.0","63.0","16.4","15.1","18.1"
"Côte d'Ivoire"," 2010","56.6","54.8","58.9","15.6","14.3","17.5"
"Côte d'Ivoire"," 2000","50.3","48.9","52.3","14.5","12.9","16.8"
"Croatia"," 2019","78.6","75.5","81.6","21.8","19.4","23.7"
